# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00476896 0.001
40 2.37 0.0607095 0.0144
41 2.43 0.275815 0.0784
42 2.49 0.706782 0.2506
43 2.55 1.40653 0.61
44 2.61 2.16222 1.1888
45 2.67 2.57732 1.9108
46 2.73 2.86068 2.7486
47 2.79 2.91747 3.641
48 2.85 2.7389 4.5152
49 2.91 2.45163 5.331
50 2.97 2.18278 6.0876
51 3.03 1.8882 6.7688
52 3.09 1.66206 7.3924
53 3.15 1.44855 7.9572
54 3.21 1.346 8.5022
55 3.27 1.12999 8.977
56 3.33 1.01115 9.4176
57 3.39 0.881784 9.8158
58 3.45 0.878321 10.2266
59 3.51 0.75849 10.5938
60 3.57 0.700862 10.9448
61 3.63 0.677112 11.2954
62 3.69 0.642562 11.6392
63 3.75 0.601173 11.9714
64 3.81 0.585193 12.3052
65 3.87 0.592676 12.654
66 3.93 0.600092 13.0182
67 3.99 0.588575 13.3864
68 4.05 0.595779 13.7704
69 4.11 0.607437 14.1736
70 4.17 0.611157 14.5912
71 4.23 0.653678 15.0508
72 4.29 0.652115 15.5224
73 4.35 0.722743 16.0598
74 4.41 0.764451 16.644
75 4.47 0.790427 17.2646
76 4.53 0.842052 17.9436
77 4.59 0.926721 18.7108
78 4.65 0.936856 19.5068
79 4.71 1.00881 20.3862
80 4.77 1.06502 21.3384
81 4.83 1.11443 22.36
82 4.89 1.12578 23.4178
83 4.95 1.19379 24.5672
84 5.01 1.19335 25.7442
85 5.07 1.24527 27.002
86 5.13 1.26195 28.307
87 5.19 1.2919 29.6744
88 5.25 1.29116 31.0728
89 5.31 1.28309 32.4944
90 5.37 1.28317 33.9484
91 5.43 1.27033 35.4202
92 5.49 1.24086 36.8898
93 5.55 1.20426 38.3474
94 5.61 1.17799 39.8042
95 5.67 1.1201 41.2192
96 5.73 1.09041 42.626
97 5.79 1.05169 44.0114
98 5.85 1.01357 45.3744
99 5.91 0.970795 46.7068
100 5.97 0.9361 48.0178
101 6.03 0.925683 49.3404
102 6.09 0.903004 50.6564
103 6.15 0.863132 51.9392
104 6.21 0.844026 53.2182
105 6.27 0.844004 54.522
106 6.33 0.835701 55.8378
107 6.39 0.831424 57.1718
108 6.45 0.8219 58.5154
109 6.51 0.829158 59.8962
110 6.57 0.84309 61.3262
111 6.63 0.868426 62.8262
112 6.69 0.856331 64.3322
113 6.75 0.884742 65.9162
114 6.81 0.903572 67.5628
115 6.87 0.928191 69.2842
116 6.93 0.954899 71.0862
117 6.99 0.961285 72.9318
118 7.05 0.97981 74.8454
119 7.11 1.01419 76.86
120 7.17 1.03818 78.9572
121 7.23 1.05821 81.1308
122 7.29 1.06883 83.3628
123 7.35 1.0783 85.6518
124 7.41 1.08288 87.9882
125 7.47 1.11198 90.4264
126 7.53 1.12575 92.9346
127 7.59 1.09751 95.419
128 7.65 1.11532 97.9838
129 7.71 1.08938 100.528
130 7.77 1.10255 103.144
131 7.83 1.09776 105.789
132 7.89 1.09004 108.455
133 7.95 1.07928 111.135
134 8.01 1.06627 113.824
135 8.07 1.04594 116.5
136 8.13 1.02986 119.175
137 8.19 1.03304 121.898
138 8.25 1.00012 124.573
139 8.31 0.978141 127.227
140 8.37 0.987489 129.945
141 8.43 0.975058 132.668
142 8.49 0.963444 135.397
143 8.55 0.94607 138.114
144 8.61 0.945083 140.867
145 8.67 0.943626 143.655
146 8.73 0.932169 146.446
147 8.79 0.917972 149.233
148 8.85 0.931691 152.101
149 8.91 0.931174 155.005
150 8.97 0.935712 157.964
151 9.03 0.940172 160.976
152 9.09 0.944187 164.042
153 9.15 0.948381 167.162
154 9.21 0.959286 170.359
155 9.27 0.952416 173.575
156 9.33 0.978212 176.921
157 9.39 0.986186 180.338
158 9.45 0.991086 183.816
159 9.51 1.01655 187.428
160 9.57 1.01663 191.087
161 9.63 1.01349 194.78
162 9.69 1.0509 198.658
163 9.75 1.02596 202.49
164 9.81 1.04381 206.437
165 9.87 1.05169 210.463
166 9.93 1.04867 214.526
167 9.99 1.0458 218.627
168 10.05 1.045 222.775
169 10.11 1.04652 226.978
170 10.17 1.04686 231.233
171 10.23 1.04522 235.531
172 10.29 1.04369 239.873
173 10.35 1.03362 244.224
174 10.41 1.02963 248.608
175 10.47 1.00537 252.939
176 10.53 1.01474 257.36
177 10.59 1.00268 261.779
178 10.65 1.01426 266.299
179 10.71 1.00159 270.814
180 10.77 0.99187 275.334
181 10.83 0.988634 279.891
182 10.89 0.979144 284.454
183 10.95 0.982706 289.084
