# Time-averaged data for fix rdf2_out
# TimeStep Number-of-rows
# Row c_rdf2[1] c_rdf2[2] c_rdf2[3]
240000 100
43 3.4 0.940888 9.24709
44 3.48 0.878512 9.79198
45 3.56 0.839845 10.3371
46 3.64 0.805437 10.8837
47 3.72 0.76785 11.4279
48 3.8 0.733657 11.9704
49 3.88 0.733043 12.5356
50 3.96 0.738381 13.1286
51 4.04 0.74946 13.7551
52 4.12 0.762369 14.4179
53 4.2 0.782286 15.1246
54 4.28 0.790524 15.8663
55 4.36 0.80456 16.6496
56 4.44 0.825902 17.4834
57 4.52 0.863667 18.3871
58 4.6 0.884623 19.3458
59 4.68 0.918446 20.376
60 4.76 0.949276 21.4776
61 4.84 0.979604 22.6528
62 4.92 1.01109 23.9063
63 5 1.05232 25.2536
64 5.08 1.07826 26.6787
65 5.16 1.10608 28.187
66 5.24 1.13108 29.7775
67 5.32 1.13142 31.4175
68 5.4 1.14178 33.1227
69 5.48 1.14707 34.8868
70 5.56 1.12772 36.6723
71 5.64 1.12224 38.5005
72 5.72 1.10335 40.3493
73 5.8 1.08382 42.2166
74 5.88 1.0684 44.1084
75 5.96 1.0496 46.0178
76 6.04 1.02132 47.926
77 6.12 1.00883 49.8612
78 6.2 0.99811 51.8261
79 6.28 0.983267 53.8121
80 6.36 0.977057 55.8362
81 6.44 0.968566 57.8934
82 6.52 0.943591 59.9477
83 6.6 0.931472 62.0257
84 6.68 0.930542 64.1523
85 6.76 0.927449 66.3229
86 6.84 0.930273 68.5519
87 6.92 0.927856 70.8274
88 7 0.935837 73.1758
89 7.08 0.930325 75.5641
90 7.16 0.942287 78.0381
91 7.24 0.94911 80.586
92 7.32 0.960127 83.2207
93 7.4 0.969703 85.9402
94 7.48 0.984397 88.761
95 7.56 0.996908 91.679
96 7.64 1.01122 94.7018
97 7.72 1.02579 97.8328
98 7.8 1.0367 101.063
99 7.88 1.04468 104.385
100 7.96 1.06053 107.827
240600 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000482671 0.000111111
28 2.2 0.00739547 0.00194444
29 2.28 0.0418703 0.0130926
30 2.36 0.150218 0.0559444
31 2.44 0.450193 0.193222
32 2.52 1.18153 0.577519
33 2.6 2.13453 1.31656
34 2.68 2.44038 2.21428
35 2.76 2.58073 3.22115
36 2.84 2.4334 4.22637
37 2.92 2.15072 5.16557
38 3 1.80968 5.99974
39 3.08 1.55079 6.7532
40 3.16 1.35501 7.44619
41 3.24 1.19902 8.09083
42 3.32 1.05081 8.68404
43 3.4 0.952711 9.24809
44 3.48 0.879676 9.7937
45 3.56 0.837049 10.337
46 3.64 0.80792 10.8853
47 3.72 0.767641 11.4293
48 3.8 0.736887 11.9743
49 3.88 0.730377 12.5374
50 3.96 0.741517 13.1329
51 4.04 0.755663 13.7646
52 4.12 0.755339 14.4213
53 4.2 0.772591 15.1192
54 4.28 0.79011 15.8605
55 4.36 0.80494 16.6442
56 4.44 0.832212 17.4844
57 4.52 0.865207 18.3897
58 4.6 0.889664 19.3538
59 4.68 0.914385 20.3795
60 4.76 0.951111 21.4832
61 4.84 0.976933 22.6552
62 4.92 0.999198 23.8939
63 5 1.04702 25.2345
64 5.08 1.07863 26.6601
65 5.16 1.10921 28.1726
66 5.24 1.12521 29.7549
67 5.32 1.13882 31.4056
68 5.4 1.15165 33.1255
69 5.48 1.14466 34.886
70 5.56 1.13055 36.6759
71 5.64 1.12001 38.5005
72 5.72 1.11102 40.3621
73 5.8 1.08362 42.2291
74 5.88 1.07107 44.1256
75 5.96 1.04445 46.0257
76 6.04 1.02898 47.9482
77 6.12 1.01239 49.8901
78 6.2 0.990302 51.8397
79 6.28 0.983203 53.8256
80 6.36 0.97779 55.8512
81 6.44 0.962934 57.8965
82 6.52 0.946823 59.9578
83 6.6 0.930667 62.034
84 6.68 0.92974 64.1587
85 6.76 0.924885 66.3233
86 6.84 0.928804 68.5488
87 6.92 0.925621 70.8188
88 7 0.932583 73.1591
89 7.08 0.932936 75.5541
90 7.16 0.940467 78.0233
91 7.24 0.945929 80.5627
92 7.32 0.962212 83.2031
93 7.4 0.970588 85.9251
94 7.48 0.983997 88.7447
95 7.56 0.999407 91.67
96 7.64 1.01411 94.7015
97 7.72 1.02529 97.8309
98 7.8 1.03563 101.058
99 7.88 1.04855 104.392
100 7.96 1.05973 107.831
240700 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000482671 0.000111111
28 2.2 0.00657375 0.00174074
29 2.28 0.0413834 0.0127593
30 2.36 0.151646 0.0560185
31 2.44 0.456266 0.195148
32 2.52 1.1858 0.580833
33 2.6 2.12287 1.31583
34 2.68 2.45085 2.21741
35 2.76 2.55666 3.21489
36 2.84 2.43443 4.22054
37 2.92 2.13681 5.15367
38 3 1.82318 5.99406
