# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
20000 200
19 1.11 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0
35 2.07 0 0 0 0 0 0
36 2.13 0 0 0 0 0 0
37 2.19 0 0 0 0 0 0
38 2.25 0 0 0 0 0 0
39 2.31 0 0 0 0 0 0
40 2.37 0 0 0.00725616 0.0008 0.00181041 0.0002
41 2.43 0.0862784 0.01 0.0552182 0.0072 0.0637183 0.0076
42 2.49 0.354977 0.0532 0.295815 0.0432 0.344427 0.0496
43 2.55 0.92139 0.1708 0.92139 0.1608 0.971155 0.1738
44 2.61 1.68424 0.396 1.84878 0.408 1.77194 0.4112
45 2.67 2.40981 0.7332 2.50415 0.7584 2.58615 0.7738
46 2.73 2.85739 1.1512 2.8738 1.1788 3.05771 1.222
47 2.79 3.1547 1.6332 3.20706 1.6688 3.27511 1.7234
48 2.85 2.9179 2.0984 3.09604 2.1624 3.17999 2.2314
49 2.91 2.85898 2.5736 2.6809 2.608 2.85086 2.7062
50 2.97 2.38885 2.9872 2.54133 3.048 2.58813 3.1552
51 3.03 2.15534 3.3756 2.26633 3.4564 2.19755 3.552
52 3.09 1.82914 3.7184 1.86116 3.8052 1.82548 3.8948
53 3.15 1.60198 4.0304 1.47464 4.0924 1.50039 4.1876
54 3.21 1.38443 4.3104 1.28752 4.3528 1.37772 4.4668
55 3.27 1.21212 4.5648 1.07109 4.5776 1.10604 4.6994
56 3.33 1.05122 4.7936 0.994246 4.794 1.00418 4.9184
57 3.39 0.959364 5.01 0.899071 4.9968 0.91674 5.1256
58 3.45 0.828692 5.2036 0.770478 5.1768 0.823617 5.3184
59 3.51 0.721204 5.378 0.676543 5.3404 0.726365 5.4944
60 3.57 0.698766 5.5528 0.687573 5.5124 0.663058 5.6606
61 3.63 0.610901 5.7108 0.578422 5.662 0.603505 5.817
62 3.69 0.61215 5.8744 0.544798 5.8076 0.592254 5.9756
63 3.75 0.57098 6.032 0.575328 5.9664 0.511987 6.1172
64 3.81 0.495579 6.1732 0.572793 6.1296 0.528214 6.268
65 3.87 0.547006 6.334 0.504824 6.278 0.537764 6.4264
66 3.93 0.530431 6.4948 0.53439 6.44 0.523445 6.5854
67 3.99 0.506918 6.6532 0.568363 6.6176 0.511653 6.7456
68 4.05 0.511889 6.818 0.544193 6.7928 0.521405 6.9138
69 4.11 0.558581 7.0032 0.553755 6.9764 0.549036 7.0962
70 4.17 0.571922 7.1984 0.57075 7.1712 0.561421 7.2882
71 4.23 0.599093 7.4088 0.597954 7.3812 0.600168 7.4994
72 4.29 0.643356 7.6412 0.617887 7.6044 0.607258 7.7192
73 4.35 0.661271 7.8868 0.709736 7.868 0.683058 7.9734
74 4.41 0.709417 8.1576 0.750284 8.1544 0.726822 8.2514
75 4.47 0.793514 8.4688 0.722118 8.4376 0.775132 8.556
76 4.53 0.834206 8.8048 0.843144 8.7772 0.817671 8.886
77 4.59 0.868643 9.164 0.871545 9.1376 0.889592 9.2546
78 4.65 0.949105 9.5668 0.961358 9.5456 0.928394 9.6494
79 4.71 1.01235 10.0076 1.07022 10.0116 0.982821 10.0782
80 4.77 1.10348 10.5004 1.08288 10.4952 1.05122 10.5486
81 4.83 1.11817 11.0124 1.12865 11.012 1.09762 11.0522
82 4.89 1.15823 11.556 1.14288 11.5484 1.20609 11.6194
83 4.95 1.23345 12.1492 1.17939 12.1156 1.20235 12.1988
84 5.01 1.21789 12.7492 1.23575 12.7244 1.24827 12.815
85 5.07 1.30578 13.408 1.25424 13.3572 1.25055 13.4472
86 5.13 1.31491 14.0872 1.34356 14.0512 1.31537 14.128
87 5.19 1.30511 14.7772 1.3157 14.7468 1.33043 14.8328
88 5.25 1.32499 15.494 1.35308 15.4788 1.33267 15.5552
89 5.31 1.25907 16.1908 1.33424 16.2172 1.33193 16.2938
90 5.37 1.29682 16.9248 1.33993 16.9756 1.31644 17.0404
91 5.43 1.31117 17.6836 1.33467 17.748 1.31441 17.8026
