# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
73 4.35 0.718978 16.0568
74 4.41 0.744822 16.626
75 4.47 0.785078 17.2424
76 4.53 0.870575 17.9444
77 4.59 0.88855 18.68
78 4.65 0.946036 19.4838
79 4.71 1.03497 20.386
80 4.77 1.05227 21.3268
81 4.83 1.11356 22.3476
82 4.89 1.13067 23.41
83 4.95 1.19088 24.5566
84 5.01 1.22985 25.7696
85 5.07 1.23457 27.0166
86 5.13 1.25808 28.3176
87 5.19 1.29794 29.6914
88 5.25 1.28857 31.087
89 5.31 1.30384 32.5316
90 5.37 1.27487 33.9762
91 5.43 1.24651 35.4204
92 5.49 1.24322 36.8928
93 5.55 1.22574 38.3764
94 5.61 1.17379 39.828
95 5.67 1.12454 41.2486
96 5.73 1.08855 42.653
97 5.79 1.0652 44.0562
98 5.85 1.00182 45.4034
99 5.91 0.977353 46.7448
100 5.97 0.931244 48.049
101 6.03 0.912245 49.3524
102 6.09 0.88681 50.6448
103 6.15 0.855461 51.9162
104 6.21 0.838351 53.1866
105 6.27 0.836624 54.479
106 6.33 0.838115 55.7986
107 6.39 0.828308 57.1276
108 6.45 0.824837 58.476
109 6.51 0.838526 59.8724
110 6.57 0.842147 61.3008
111 6.63 0.850595 62.77
112 6.69 0.877597 64.3134
113 6.75 0.879603 65.8882
114 6.81 0.914876 67.5554
115 6.87 0.928514 69.2774
116 6.93 0.942817 71.0566
117 6.99 0.972744 72.9242
118 7.05 1.00879 74.8944
119 7.11 1.01409 76.9088
120 7.17 1.04313 79.016
121 7.23 1.05821 81.1896
122 7.29 1.08502 83.4554
123 7.35 1.04495 85.6736
124 7.41 1.0712 87.9848
125 7.47 1.10313 90.4036
126 7.53 1.11354 92.8846
127 7.59 1.1029 95.3812
128 7.65 1.11924 97.955
129 7.71 1.10051 100.526
130 7.77 1.09454 103.122
131 7.83 1.09518 105.761
132 7.89 1.08693 108.419
133 7.95 1.06744 111.07
134 8.01 1.07571 113.782
135 8.07 1.0604 116.496
136 8.13 1.02055 119.147
137 8.19 1.01604 121.825
138 8.25 1.00962 124.525
139 8.31 0.993177 127.22
140 8.37 0.988288 129.94
141 8.43 0.971835 132.654
142 8.49 0.956453 135.363
143 8.55 0.957906 138.115
144 8.61 0.946319 140.871
145 8.67 0.936516 143.638
146 8.73 0.929364 146.421
147 8.79 0.934506 149.258
148 8.85 0.927077 152.111
149 8.91 0.928289 155.007
150 8.97 0.9347 157.962
151 9.03 0.940422 160.975
152 9.09 0.948376 164.055
153 9.15 0.950387 167.181
154 9.21 0.960306 170.382
155 9.27 0.971192 173.661
156 9.33 0.973066 176.99
157 9.39 0.972216 180.358
158 9.45 1.00317 183.878
159 9.51 1.00085 187.435
160 9.57 1.01579 191.091
161 9.63 1.02848 194.839
162 9.69 1.03112 198.643
163 9.75 1.02885 202.486
164 9.81 1.04275 206.429
165 9.87 1.03826 210.404
166 9.93 1.0576 214.502
167 9.99 1.04626 218.605
168 10.05 1.04746 222.762
169 10.11 1.04582 226.962
170 10.17 1.04238 231.199
171 10.23 1.04755 235.506
172 10.29 1.03253 239.802
173 10.35 1.0281 244.13
174 10.41 1.0269 248.503
175 10.47 1.02301 252.909
176 10.53 1.01648 257.338
177 10.59 1.0084 261.782
178 10.65 1.00995 266.283
179 10.71 0.998 270.781
180 10.77 0.983401 275.264
181 10.83 0.987723 279.816
182 10.89 0.980174 284.383
183 10.95 0.984871 289.024
184 11.01 0.984327 293.712
185 11.07 0.980331 298.433
186 11.13 0.975254 303.18
187 11.19 0.971287 307.959
188 11.25 0.969802 312.782
189 11.31 0.98027 317.709
190 11.37 0.975267 322.663
191 11.43 0.965055 327.618
