# Time-averaged data for fix rdf3_out
# TimeStep Number-of-rows
# Row c_rdf3[1] c_rdf3[2] c_rdf3[3]
370000 100
76 6.04 1.03593 45.5016
77 6.12 1.02343 47.3793
78 6.2 1.01808 49.2963
79 6.28 1.00561 51.239
80 6.36 1.00124 53.2228
81 6.44 0.985987 55.2259
82 6.52 0.967756 57.2411
83 6.6 0.961327 59.2924
84 6.68 0.956273 61.3826
85 6.76 0.955059 63.5205
86 6.84 0.950966 65.6999
87 6.92 0.94724 67.9218
88 7 0.948728 70.1989
89 7.08 0.948745 72.5285
90 7.16 0.948834 74.9112
91 7.24 0.953975 77.3607
92 7.32 0.966842 79.8984
93 7.4 0.971615 82.5046
94 7.48 0.98112 85.1935
95 7.56 0.991495 87.9694
96 7.64 0.998126 90.8232
97 7.72 1.00654 93.7617
98 7.8 1.01868 96.7975
99 7.88 1.02729 99.9222
100 7.96 1.03261 103.127
370500 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 9.08318e-05 1.85185e-05
27 2.12 0.00899941 0.002
28 2.2 0.0672456 0.0179444
29 2.28 0.181649 0.0642037
30 2.36 0.406347 0.175074
31 2.44 0.764599 0.398074
32 2.52 1.378 0.826759
33 2.6 1.93642 1.46802
34 2.68 2.09029 2.20348
35 2.76 2.14705 3.00469
36 2.84 2.06731 3.8215
37 2.92 1.88705 4.60969
38 3 1.66178 5.34233
39 3.08 1.50916 6.04365
40 3.16 1.37155 6.71456
41 3.24 1.23898 7.35169
42 3.32 1.12827 7.96089
43 3.4 1.04585 8.55313
44 3.48 0.971627 9.12954
45 3.56 0.927973 9.70565
46 3.64 0.887063 10.2814
47 3.72 0.841754 10.852
48 3.8 0.812629 11.4268
49 3.88 0.803899 12.0196
50 3.96 0.804581 12.6377
51 4.04 0.797631 13.2754
52 4.12 0.805197 13.9449
53 4.2 0.807112 14.6424
54 4.28 0.814556 15.3733
55 4.36 0.826184 16.1426
56 4.44 0.849743 16.9632
57 4.52 0.872667 17.8366
58 4.6 0.891495 18.7606
59 4.68 0.914768 19.7421
60 4.76 0.936603 20.7816
61 4.84 0.965706 21.8897
62 4.92 0.997823 23.0729
63 5 1.02278 24.3254
64 5.08 1.0412 25.6416
65 5.16 1.0638 27.0291
66 5.24 1.07933 28.4808
67 5.32 1.08915 29.9908
68 5.4 1.0944 31.554
69 5.48 1.09772 33.1688
70 5.56 1.08936 34.8184
71 5.64 1.08943 36.5159
72 5.72 1.08132 38.249
73 5.8 1.06734 40.0078
74 5.88 1.06346 41.8089
75 5.96 1.05138 43.6383
76 6.04 1.03801 45.4932
77 6.12 1.02872 47.3806
78 6.2 1.01432 49.2905
79 6.28 1.00943 51.2406
80 6.36 0.997564 53.2172
81 6.44 0.990864 55.2302
82 6.52 0.966369 57.2425
83 6.6 0.963731 59.2989
84 6.68 0.957772 61.3924
85 6.76 0.951701 63.5227
