# Time-averaged data for fix 5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
110000 100
98 7.8 1.05905 104.268
99 7.88 1.08156 107.831
100 7.96 1.10222 111.536
150000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.00120862 0.000333333
30 2.36 0.00927526 0.00307407
31 2.44 0.0871811 0.0306111
32 2.52 0.619629 0.23937
33 2.6 2.01291 0.961278
34 2.68 2.80558 2.03033
35 2.76 3.27083 3.35219
36 2.84 3.10565 4.68109
37 2.92 2.54174 5.83083
38 3 1.9596 6.76648
39 3.08 1.56623 7.55472
40 3.16 1.27047 8.22776
41 3.24 1.06081 8.81854
42 3.32 0.90003 9.34483
43 3.4 0.786037 9.82689
44 3.48 0.744723 10.3054
45 3.56 0.715596 10.7865
46 3.64 0.712678 11.2874
47 3.72 0.683566 11.7893
48 3.8 0.666692 12.3
49 3.88 0.67343 12.8378
50 3.96 0.713833 13.4317
51 4.04 0.739226 14.0717
52 4.12 0.755752 14.7523
53 4.2 0.778094 15.4804
54 4.28 0.790382 16.2485
55 4.36 0.810637 17.066
56 4.44 0.839911 17.9444
57 4.52 0.869117 18.8864
58 4.6 0.894266 19.8903
59 4.68 0.931101 20.9721
60 4.76 0.951094 22.1153
61 4.84 0.989682 23.3452
62 4.92 1.00359 24.634
63 5 1.03119 26.0016
64 5.08 1.06637 27.4615
65 5.16 1.1131 29.0337
66 5.24 1.14989 30.7087
67 5.32 1.18978 32.4951
68 5.4 1.20067 34.3524
69 5.48 1.2089 36.2784
70 5.56 1.18851 38.2275
71 5.64 1.16929 40.2006
72 5.72 1.13221 42.1658
73 5.8 1.09061 44.1121
74 5.88 1.05846 46.0535
75 5.96 1.03475 48.0034
76 6.04 1.01655 49.9708
77 6.12 0.990476 51.9388
78 6.2 0.989228 53.956
79 6.28 0.972859 55.9914
80 6.36 0.97411 58.0817
81 6.44 0.962777 60.2
82 6.52 0.928949 62.2949
83 6.6 0.911687 64.4017
84 6.68 0.912941 66.5628
85 6.76 0.911697 68.7729
86 6.84 0.906672 71.0233
87 6.92 0.904003 73.3197
88 7 0.902893 75.6667
89 7.08 0.897688 78.0539
90 7.16 0.912624 80.5358
91 7.24 0.917427 83.0869
92 7.32 0.936534 85.7491
93 7.4 0.953011 88.5175
94 7.48 0.973021 91.4056
95 7.56 0.99013 94.4076
96 7.64 1.01717 97.5573
97 7.72 1.03815 100.84
98 7.8 1.05789 104.254
99 7.88 1.07707 107.802
100 7.96 1.10341 111.511
155000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.000872889 0.000240741
30 2.36 0.00864856 0.0027963
31 2.44 0.0833703 0.0291296
32 2.52 0.619739 0.237926
33 2.6 1.98802 0.950907
34 2.68 2.82278 2.02652
35 2.76 3.28142 3.35265
36 2.84 3.09029 4.67498
37 2.92 2.5557 5.83104
38 3 1.96949 6.77141
39 3.08 1.55983 7.55643
40 3.16 1.27935 8.23417
41 3.24 1.05725 8.82296
42 3.32 0.897338 9.34769
43 3.4 0.790385 9.83241
44 3.48 0.738497 10.3069
45 3.56 0.721931 10.7923
46 3.64 0.712362 11.293
47 3.72 0.678471 11.7911
48 3.8 0.664202 12.2999
49 3.88 0.677581 12.841
50 3.96 0.71459 13.4355
51 4.04 0.735676 14.0725
52 4.12 0.753284 14.7509
53 4.2 0.768635 15.4701
54 4.28 0.79669 16.2444
55 4.36 0.819231 17.0705
56 4.44 0.834775 17.9436
57 4.52 0.870073 18.8866
58 4.6 0.891379 19.8872
59 4.68 0.924152 20.961
60 4.76 0.961154 22.1163
61 4.84 0.977358 23.3309
62 4.92 1.00503 24.6215
63 5 1.03329 25.9919
64 5.08 1.07182 27.4592
65 5.16 1.10406 29.0187
