# Step Temp Press PE KE TotEng Vol Density
110129 293.16033975032542003 208.3624008317030416 -301006.67696807760512 4092.5084926846188864 -296914.16847539297305 2045255.3085077048745 6.1136609735998854731
110130 293.13942608232258635 222.04374531959101091 -301006.58002434292575 4092.2165385820017036 -296914.3634857609286 2045255.3085077048745 6.1136609735998854731
110131 293.11668665383518828 76.236014205632656626 -301006.50904389488278 4091.8990969243659492 -296914.60994697053684 2045255.3085077048745 6.1136609735998854731
110132 293.09012804907672489 110.37033794465182268 -301006.38965841691243 4091.528339694310489 -296914.86131872260012 2045255.3085077048745 6.1136609735998854731
110133 293.06546442122532881 87.561928166825595099 -301006.30613615864422 4091.1840362782068041 -296915.12209988042014 2045255.3085077048745 6.1136609735998854731
110134 293.04375846552062512 91.51838101107041723 -301006.23154905543197 4090.8810218658923077 -296915.35052718955558 2045255.3085077048745 6.1136609735998854731
110135 293.02506390633237743 109.56691741835486198 -301006.126452696044 4090.6200464477642527 -296915.5064062482561 2045255.3085077048745 6.1136609735998854731
110136 293.00624944254707316 125.84833676222146437 -301005.98921416013036 4090.3573971654900561 -296915.63181699463166 2045255.3085077048745 6.1136609735998854731
110137 292.98422485023769468 150.27904352569743196 -301005.8665515051689 4090.0499345968805756 -296915.81661690829787 2045255.3085077048745 6.1136609735998854731
110138 292.96034506924104335 89.396289420120339742 -301005.70722023531562 4089.7165736565316365 -296915.99064657877898 2045255.3085077048745 6.1136609735998854731
110139 292.94092717132150483 130.99655426794376467 -301005.54423195798881 4089.4455004540191112 -296916.09873150399653 2045255.3085077048745 6.1136609735998854731
110140 292.91555279678971146 134.37963493231362122 -301005.3279215520015 4089.09127503813761 -296916.23664651386207 2045255.3085077048745 6.1136609735998854731
110141 292.88458559897520672 117.17795719774372287 -301005.07780183444265 4088.6589739971495874 -296916.41882783727488 2045255.3085077048745 6.1136609735998854731
110142 292.85624857618540773 124.7084012538178257 -301004.87199006427545 4088.2633901111321393 -296916.60859995312057 2045255.3085077048745 6.1136609735998854731
110143 292.82963001797003244 -3.3507388235083976902 -301004.63656390696997 4087.8917959328327925 -296916.74476797413081 2045255.3085077048745 6.1136609735998854731
110144 292.80798126949110838 101.31634165321467833 -301004.42681152722798 4087.5895801314682103 -296916.83723139576614 2045255.3085077048745 6.1136609735998854731
110145 292.7914324898013092 120.2672695742010518 -301004.29918354953406 4087.3585597230398889 -296916.94062382652191 2045255.3085077048745 6.1136609735998854731
110146 292.77307847955682973 116.46272596145037426 -301004.15427987556905 4087.1023383567244309 -296917.05194151884643 2045255.3085077048745 6.1136609735998854731
110147 292.75062826854536979 112.77858081013249603 -301004.07203854888212 4086.788934165334922 -296917.28310438356129 2045255.3085077048745 6.1136609735998854731
110148 292.72620329352099589 137.85031218614099657 -301003.93059276987333 4086.4479623346774133 -296917.48263043520274 2045255.3085077048745 6.1136609735998854731
110149 292.70692507580662323 129.91081866678013057 -301003.83240315353032 4086.1788390631354559 -296917.65356409037486 2045255.3085077048745 6.1136609735998854731
110150 292.69221063057528909 161.42970428705876884 -301003.76156009553233 4085.9734259021133767 -296917.78813419339713 2045255.3085077048745 6.1136609735998854731
110151 292.6771838044485321 127.04946750465244065 -301003.74329517892329 4085.7636519142874931 -296917.97964326461079 2045255.3085077048745 6.1136609735998854731
110152 292.66502518329156146 48.02442309749357463 -301003.76768216682831 4085.5939179714678176 -296918.1737641953514 2045255.3085077048745 6.1136609735998854731
110153 292.65661769040923446 103.77850652859162039 -301003.78099841153016 4085.4765496533232181 -296918.30444875819376 2045255.3085077048745 6.1136609735998854731
110154 292.64714437975607098 146.89547892020200948 -301003.79758770443732 4085.344302554909973 -296918.45328514953144 2045255.3085077048745 6.1136609735998854731
